,ID,Food Concept,URLs
496,B000496,JICAMA,NCBITaxon_205481;NCBITaxon_109171
497,B000497,CHEESE FILLING,FOODON_03309371
498,B000498,PINT,UO_0010028
499,B000499,SOURDOUGH BREAD,FOODON_03302481
500,B000500,LEMONADE MIX,FOODON_03301630;FOODON_03305777
501,B000501,DAY,UO_0000033
502,B000502,PHEASANT,FOODON_03411460
503,B000503,DEPRESSION,ENVO_00000309
504,B000504,SEALS,NCBITaxon_9709
505,B000505,BEEF BACON,FOODON_03316638
506,B000506,FRUIT PRESERVES,PO_0009001;FOODON_03305304
507,B000507,LEMON JUICE CONCENTRATE,FOODON_03305428;FOODON_03302712
508,B000508,DEPTH,PATO_0001595
509,B000509,CREAM OF CELERY SOUP,NCBITaxon_117781;FOODON_03310560
510,B000510,SCALLOP,FOODON_03411489
511,B000511,COLESLAW DRESSING,FOODON_03307700;FOODON_03315498
512,B000512,CHEESE STICK,FOODON_03302014
513,B000513,GILL,UO_0010027
514,B000514,GNOCCHI,FOODON_03317446
515,B000515,RUSSIAN DRESSING,FOODON_03306669;hancestro_0386;FOODON_03315498
516,B000516,POTATO SALAD,FOODON_03304708;FOODON_03316042;NCBITaxon_4113
517,B000517,ESCARGOT,FOODON_03413663
518,B000518,PISTACHIO,NCBITaxon_55513
519,B000519,BLUEBERRY PIE FILLING,FOODON_03306672;FOODON_03306766
520,B000520,DUCK,FOODON_03411316;NCBITaxon_8839
521,B000521,ANCHOVIES,NCBITaxon_43062
522,B000522,OUNCE,UO_0010033
523,B000523,ITALIAN CHEESE,ancestro_0307;FOODON_03310353
524,B000524,WHITE BREAD,FOODON_03301055
525,B000525,WOOD,FOODON_03500035;FOODON_03420309
526,B000526,TANGERINE,NCBITaxon_85571;FOODON_03315108
527,B000527,ARTICHOKE HEART,NCBITaxon_59895;UBERON_0000948;FOODON_03301188
528,B000528,HUSH PUPPY,FOODON_03305512
529,B000529,PEANUT,NCBITaxon_3818
530,B000530,SEA SCALLOP,ENVO_00000016;FOODON_03411050;FOODON_03411489;NCBITaxon_6577
531,B000531,TATER TOT,FOODON_03311863
532,B000532,PLUM,NCBITaxon_3758
533,B000533,PEPPER JELLY,FOODON_03306074
534,B000534,OAT FLOUR,FOODON_03301312;FOODON_03301116
535,B000535,MANGO CHUTNEY,NCBITaxon_29780;FOODON_03317544;FOODON_03302725
536,B000536,CHUTNEY,FOODON_03317544
537,B000537,MILK CHOCOLATE,FOODON_03307240;FOODON_03302806;UBERON_0001913
538,B000538,CHICKENS,NCBITaxon_9031
539,B000539,ORANGE MARMALADE,FOODON_03306377;FOODON_03309832;FOODON_03302512
540,B000540,HOMINY,FOODON_03310226
541,B000541,CANDY CORN,FOODON_03301051;FOODON_03302541;NCBITaxon_381124
542,B000542,COOKING SHERRY,FOODON_03310760;FOODON_03307295
543,B000543,BUTTERMILK BISCUIT,FOODON_03302614
544,B000544,BOURBON WHISKEY,FOODON_03309410;FOODON_03302775
545,B000545,JERUSALEM ARTICHOKE,NCBITaxon_59895;NCBITaxon_4233
546,B000546,RYE FLOUR,NCBITaxon_4550;FOODON_03301116;FOODON_03302492
547,B000547,TRUFFLE,FOODON_03411387
548,B000548,HERB MIXTURE,FOODON_03305543;CHEBI_60004
549,B000549,GOLDFISH,FOODON_03414858;NCBITaxon_7957
550,B000550,DUMPLING,FOODON_03306619
551,B000551,REMOULADE,FOODON_03310485
552,B000552,FRYING OIL,FOODON_03316044;FOODON_03310387
553,B000553,JALAPENO JELLY,FOODON_03306075
554,B000554,CRAB SPREAD,FOODON_03308595;FOODON_03411335
555,B000555,TORTILLA CHIP,FOODON_03307668;FOODON_03310710
556,B000556,WIDTH,PATO_0000921
557,B000557,BREWER'S YEAST,FOODON_03315025;NCBITaxon_4932
558,B000558,TEMPEH,FOODON_03304999
559,B000559,CORN MUFFIN MIX,FOODON_03305164;NCBITaxon_381124
560,B000560,FONTINA CHEESE,FOODON_03310415
561,B000561,ARUGULA,NCBITaxon_29727
562,B000562,SESAME SEED,FOODON_03310306;PO_0009010
563,B000563,SEED OIL,FOODON_03310387;PO_0009010;FOODON_03420307
564,B000564,COOKING OIL,FOODON_03310387;FOODON_03302653
565,B000565,PIE CRUST DOUGH,FOODON_03307629
566,B000566,ASAFOETIDA,NCBITaxon_52471
567,B000567,BISON,FOODON_03412098;NCBITaxon_9900;NCBITaxon_9901;NCBITaxon_9902
568,B000568,MACKEREL,FOODON_03411043
569,B000569,SWORDFISH,FOODON_03411427;NCBITaxon_8245
570,B000570,GREEK,ancestro_0366;hancestro_0366
571,B000571,SLOPE,ENVO_00002000
572,B000572,CONDIMENT,FOODON_03315708
573,B000573,CURRY,FOODON_03306648
574,B000574,BEET,NCBITaxon_161934
575,B000575,PEPPERCORN,FOODON_03310070
576,B000576,COCONUT CREAM,FOODON_03303088
577,B000577,CORN PUFF,FOODON_03311180;NCBITaxon_381124
578,B000578,RAZOR CLAMS,NCBITaxon_6585
579,B000579,SPROUT,FOODON_03420183
580,B000580,CATFISH,FOODON_03412620
581,B000581,SPANISH,ancestro_0392;hancestro_0392
582,B000582,FENNEL,NCBITaxon_48038
583,B000583,PILAF,FOODON_03307010
584,B000584,POTATO PATTY,FOODON_03311416;NCBITaxon_4113
585,B000585,BROWN MUSTARD,NCBITaxon_3707
586,B000586,ALLIGATOR,NCBITaxon_8495;FOODON_03412440
587,B000587,FRENCH DRESSING,ancestro_0363;FOODON_03301903;FOODON_03315498
588,B000588,ROQUEFORT CHEESE,FOODON_00002424
589,B000589,BREAD FLOUR,FOODON_03301116;FOODON_03304043
590,B000590,CORN OIL,FOODON_03310387;NCBITaxon_381124;FOODON_03301474
591,B000591,PRALINE,FOODON_03301758
592,B000592,SHRIMP COCKTAIL,FOODON_03308565;FOODON_03411237
593,B000593,WHITE SAUCE,FOODON_03307686;FOODON_03311146
594,B000594,SHRIMP PASTE,FOODON_03309823;FOODON_03411237
595,B000595,FILET,FOODON_03530144
596,B000596,BOLOGNA,FOODON_03306503
597,B000597,CREAM CHEESE SPREAD,FOODON_03302019;FOODON_03315638;FOODON_03301889
598,B000598,VEGETABLE JUICE COCKTAIL,FOODON_03303630
599,B000599,CHEESE SALAD DRESSING,FOODON_03303223;FOODON_03304717
600,B000600,BRAUNSCHWEIGER,FOODON_03317299
601,B000601,KIWI,FOODON_03414363
602,B000602,CHIPPED BEEF,FOODON_03303097
603,B000603,PIG,NCBITaxon_9823
604,B000604,FRUIT MIX,PO_0009001;FOODON_03305222
605,B000605,GREEN OLIVE,FOODON_03301269
606,B000606,ASIAN,ancestro_0008;hancestro_0008
607,B000607,BARBEQUE SEASONING,FOODON_03304158
608,B000608,MOOSE,FOODON_03411257
609,B000609,LEEK,NCBITaxon_4681
610,B000610,CHICKEN ROLL,FOODON_03411457;FOODON_03310589
611,B000611,BULB,FOODON_03420290
612,B000612,TURBINADO SUGAR,FOODON_03304305;FOODON_03420108
613,B000613,WHOLE WHEAT BREAD,FOODON_03301119;FOODON_03302200
614,B000614,WHEAT BREAD,FOODON_03302200;NCBITaxon_4565
615,B000615,CHILI SEASONING,FOODON_03303355
616,B000616,OBJECT,BFO_0000030
617,B000617,PAPER WRAPPER,FOODON_03490173
618,B000618,FUNGUS,FOODON_03411261
619,B000619,NOODLE,FOODON_03306944
620,B000620,SOYBEANS,NCBITaxon_3847
621,B000621,SHISO,FOODON_03306141
622,B000622,BARK,FOODON_03420264
623,B000623,MUENSTER CHEESE,FOODON_03303682
624,B000624,CAVIAR,FOODON_03301080
625,B000625,BUILDING,ENVO_00000073
626,B000626,EGG SALAD,FOODON_03304628;FOODON_03316042
627,B000627,SPICE MIX,FOODON_03303380;FOODON_03304292
628,B000628,TROUT,FOODON_03411258
629,B000629,POTATO CHIP,NCBITaxon_4113;FOODON_03301833
630,B000630,CHICKEN SPREAD,FOODON_03303021;FOODON_03411457
631,B000631,SAFFLOWER,NCBITaxon_4222
632,B000632,CENTIMETER,UO_0000015
633,B000633,INSECT,FOODON_03411220
634,B000634,PEA FLOUR,FOODON_03306693;FOODON_03301116;NCBITaxon_3888
635,B000635,HEART,UBERON_0000948
636,B000636,FRUIT PULP,PO_0009001;FOODON_03301109
637,B000637,PECTIN,CHEBI_17309
638,B000638,QUINCE,NCBITaxon_36610
639,B000639,EUROPE,GAZ_00000464
640,B000640,SHIITAKE MUSHROOM,FOODON_00001287;FOODON_03411635
641,B000641,SIRLOIN,FOODON_03530027
642,B000642,COTIJA CHEESE,FOODON_00002542
643,B000643,CRAB CAKE,FOODON_03305365;FOODON_03411335
644,B000644,LIGHT CREAM,FOODON_03420160
645,B000645,CORNBREAD,FOODON_03302343
646,B000646,LUNCHEON MEAT,FOODON_03310675
647,B000647,DEER,NCBITaxon_9850;FOODON_03411583
648,B000648,ONION RING,FOODON_03316347;FOODON_03306684
649,B000649,CHICKPEA FLOUR,NCBITaxon_3827;FOODON_03301116;FOODON_03304537
650,B000650,CORN MEAL,FOODON_03310257;NCBITaxon_381124
651,B000651,SNOW CRAB,NCBITaxon_41210;FOODON_03411335;FOODON_03411497
652,B000652,GARLIC PASTE,FOODON_03305217;NCBITaxon_4682
653,B000653,CURRANT JELLY,FOODON_03305958
654,B000654,RED CURRANT,NCBITaxon_175228
655,B000655,MARMALADE,FOODON_03306377
656,B000656,GARLIC BREAD,FOODON_03302379;NCBITaxon_4682
657,B000657,SQUID,FOODON_03411205
658,B000658,BEAR,FOODON_03412406
659,B000659,WHITEFISH,FOODON_03312064
660,B000660,SUGAR COATING,FOODON_03420108;FOODON_03316296
661,B000661,SHOYU SAUCE,FOODON_03311146;FOODON_03304988
662,B000662,SERRANO HAM,FOODON_00002545
663,B000663,OKRA,NCBITaxon_455045
664,B000664,FINES,FOODON_00000073
665,B000665,MUSCOVADO,FOODON_00002539
666,B000666,TAMARIND,NCBITaxon_58860
667,B000667,PERCENT,UO_0000187
668,B000668,HAVARTI CHEESE,FOODON_03303534
669,B000669,SUGAR SUBSTITUTE,FOODON_03315170;FOODON_03420108
670,B000670,RAISIN BREAD,FOODON_03301944
671,B000671,BEEF CONSOMME,FOODON_03304190;FOODON_03305332
672,B000672,BACON SIDE,FOODON_03315865
673,B000673,FARINA,FOODON_03302621
674,B000674,TURKEY HAM,FOODON_03310971;NCBITaxon_9103
675,B000675,SWISS CHARD,NCBITaxon_3555;ancestro_0394
676,B000676,CINNAMON ROLL,FOODON_03302318;NCBITaxon_128608
677,B000677,FRUIT BREAD,PO_0009001;FOODON_03302334
678,B000678,COGNAC,FOODON_03305330
679,B000679,SWIFT,FOODON_03414523
680,B000680,CHICKEN SOUP BASE,FOODON_03306286;FOODON_03305061;FOODON_03304200
681,B000681,HONEY AND MAPLE SYRUP,UBERON_0036016;FOODON_03301848;FOODON_03307181
682,B000682,FRUIT SAUCE,PO_0009001;FOODON_03311146;FOODON_03304038
683,B000683,YEAR,UO_0000036
684,B000684,SURIMI,FOODON_03308642
685,B000685,BARLEY FLOUR,NCBITaxon_4513;FOODON_03309657;FOODON_03301116
686,B000686,WHEAT GLUTEN,NCBITaxon_4565;FOODON_03301888;FOODON_03310809
687,B000687,HADDOCK,NCBITaxon_8056;FOODON_03411441
688,B000688,SOURDOUGH STARTER,FOODON_03304099
689,B000689,GRAPEFRUIT SODA,FOODON_03302160;NCBITaxon_37656
690,B000690,BELGIAN WAFFLE,FOODON_03315259;FOODON_03307233;ancestro_0349
691,B000691,BELGIAN,hancestro_0349;ancestro_0349
692,B000692,SORGHUM,NCBITaxon_4558;NCBITaxon_4557;FOODON_03309978
693,B000693,AMARANTH,NCBITaxon_3567;CHEBI_34533
694,B000694,CORNBREAD MIX,FOODON_03303198;FOODON_03302343
695,B000695,SPOT,NCBITaxon_59837;FOODON_03413905
696,B000696,CHICKEN GRAVY,FOODON_03411457;FOODON_03303038
697,B000697,MONTH,UO_0000035
698,B000698,VANILLA ICE CREAM,FOODON_03305800;NCBITaxon_51238;FOODON_03301926
699,B000699,APRICOT PUREE,FOODON_03301290;FOODON_03301701
700,B000700,NONDAIRY CREAMER,FOODON_03303905
701,B000701,UNIT,UO_0000000
702,B000702,PEACH PUREE,FOODON_03301291;NCBITaxon_3760
703,B000703,SUCRALOSE,CHEBI_32159
704,B000704,BARLEY,NCBITaxon_4513
705,B000705,FRANKFURTER,FOODON_03302012
706,B000706,DAIRY,ENVO_00003862
707,B000707,GARBANZO BEAN FLOUR,NCBITaxon_3827;FOODON_03310392;FOODON_00002413
708,B000708,BEAN FLOUR,FOODON_00002413;FOODON_03301116
709,B000709,HYDRATE,CHEBI_35505
710,B000710,MALTED MILK,UBERON_0001913;FOODON_03301818
711,B000711,MUSHROOM SAUCE,FOODON_03311146;FOODON_03302590;FOODON_00001287
712,B000712,CORNED BEEF HASH,FOODON_03311317;FOODON_03302098
713,B000713,MILLET FLOUR,FOODON_03310137;FOODON_03309702;FOODON_03301116
714,B000714,COUNTRY,ancestro_0003;hancestro_0003
715,B000715,STILTON CHEESE,FOODON_03303870
716,B000716,NONFAT DRY MILK,UBERON_0001913;FOODON_03301657
717,B000717,MOREL,FOODON_03412032
718,B000718,TOMATO CHUTNEY,FOODON_03302724;FOODON_03317544;NCBITaxon_4081
719,B000719,ERYTHRITOL,CHEBI_17113
720,B000720,RAMEN NOODLE,FOODON_03306959;FOODON_03306944
721,B000721,KIWIFRUIT,FOODON_03303398
722,B000722,HOLLANDAISE SAUCE MIX,FOODON_03301182;FOODON_03304115
723,B000723,HONEY BUTTER,UBERON_0036016;FOODON_03310351;FOODON_03301010
724,B000724,DRINK POWDER,FOODON_03315916
725,B000725,CITRON,NCBITaxon_171251
726,B000726,KING CRAB,FOODON_03411335;FOODON_03411498
727,B000727,PANETTONE,FOODON_03302466
728,B000728,CREAM OF POTATO SOUP,FOODON_03305133;NCBITaxon_4113
729,B000729,FUDGE,FOODON_03301728
730,B000730,ALE,FOODON_03302111
731,B000731,MINERAL WATER,FOODON_03301328;CHEBI_46662;ENVO_00002006
732,B000732,SCOTCH BONNET,FOODON_03414944;NCBITaxon_80379
733,B000733,SOYBEAN OIL,FOODON_03302776;FOODON_03310387;NCBITaxon_3847
734,B000734,SARDINE,FOODON_03411558;NCBITaxon_27697
735,B000735,BOX,FOODON_03490213
736,B000736,CANE SUGAR,FOODON_03301348;FOODON_03420108
737,B000737,BLUEBERRY PRESERVES,FOODON_03310389
738,B000738,CHAYOTE,NCBITaxon_184140
739,B000739,DRAGON FRUIT,PO_0009001;NCBITaxon_176265
740,B000740,SCONE,FOODON_00002465
741,B000741,COTTON,NCBITaxon_3635
742,B000742,NORMAL SIZE,PATO_0000117;PATO_0045050
743,B000743,ROOIBOS,NCBITaxon_155124
744,B000744,ENVELOPE,FOODON_03490199
745,B000745,MANCHEGO CHEESE,FOODON_03310850
746,B000746,CARROT CAKE,NCBITaxon_4039;FOODON_00002515
747,B000747,SAPODILLA,NCBITaxon_3741
748,B000748,WHEAT BREAD CRUMBS,FOODON_03301907
749,B000749,TAMARI SAUCE,FOODON_03309556;FOODON_03311146
750,B000750,CURRY SAUCE,FOODON_03306648;FOODON_03304046;FOODON_03311146
751,B000751,WHEY,FOODON_03420244
752,B000752,BRAN CEREAL,FOODON_03302906
753,B000753,BEE POLLEN,FOODON_03420279;FOODON_03301424
754,B000754,CHANTERELLE,FOODON_03411569
755,B000755,PERIMETER,PATO_0001711
756,B000756,CARROT JUICE,FOODON_03302213;NCBITaxon_4039
757,B000757,CEYLON CINNAMON,NCBITaxon_128608
758,B000758,BANANA PUREE,FOODON_03306999;NCBITaxon_89151
759,B000759,JACKFRUIT,NCBITaxon_3489
760,B000760,TOMATO PUREE,FOODON_03301457;NCBITaxon_4081
761,B000761,BREAKFAST SAUSAGE,FOODON_03317292
762,B000762,RASPBERRY JAM,FOODON_03305865;FOODON_03309973
763,B000763,BUTTER BREAD,FOODON_03302332;FOODON_03310351
764,B000764,STRAWBERRY YOGURT,NCBITaxon_3747;FOODON_03307441
765,B000765,SARAN,FOODON_03500025
766,B000766,PETAL,FOODON_03420303
767,B000767,DOUGHNUT,FOODON_03301938
768,B000768,CITRIC ACID,CHEBI_30769
769,B000769,VEGETABLE SHORTENING,FOODON_03302604
770,B000770,CHALLAH,FOODON_03302198
771,B000771,MINCEMEAT,FOODON_03305810
772,B000772,POUND CAKE,FOODON_03302767;UO_0010034
773,B000773,LOLLIPOP,FOODON_03303639
774,B000774,PEANUT BUTTER CUP,FOODON_03307672;FOODON_03306867
775,B000775,BITTER CHOCOLATE,FOODON_03307240;FOODON_03303610
776,B000776,ANGEL FOOD CAKE,CHEBI_33290;FOODON_03307734
777,B000777,RATIO,UO_0000190
778,B000778,RICE KRISPIES CEREAL,NCBITaxon_4530;FOODON_03309403
779,B000779,LAYER CAKE,FOODON_03301527;ENVO_01000281
780,B000780,CHOCOLATE CANDY,FOODON_03400288;FOODON_03307240;FOODON_03301007;FOODON_03301051
781,B000781,CANDY BAR,FOODON_03301051;FOODON_03306423
782,B000782,CHESTNUT PUREE,FOODON_03302968
783,B000783,LEMON JELLY,FOODON_03301441;FOODON_03305882
784,B000784,MACAROON,FOODON_03305977
785,B000785,SHARK,FOODON_03411342
786,B000786,STRAWBERRY ICE CREAM,FOODON_03301926;NCBITaxon_3747;FOODON_03305854
787,B000787,STRAWBERRY PRESERVES,FOODON_03305202;NCBITaxon_3747
788,B000788,CANDIED CHERRY,FOODON_03302957;FOODON_03301240
789,B000789,FIN,UBERON_0008897
790,B000790,NOUGAT,FOODON_03316438
791,B000791,FLUID OUNCE,UO_0010026;UO_0010033
792,B000792,LEMON CAKE,FOODON_03311590;FOODON_03301441
793,B000793,CORN FLOUR,FOODON_03301116;NCBITaxon_381124;FOODON_03302500
794,B000794,TURKISH,hancestro_0451;ancestro_0451
795,B000795,BEAN PASTE,FOODON_03315362
796,B000796,VANILLA WAFER,NCBITaxon_51238;FOODON_03307348;FOODON_03316443
797,B000797,TAP WATER,ENVO_00003096;FOODON_03307286;ENVO_00002006
798,B000798,CASSAVA FLOUR,FOODON_03310125;FOODON_03301116
799,B000799,ALCOHOL,CHEBI_30879
800,B000800,TOASTER PASTRY,FOODON_03307479;FOODON_03315272
801,B000801,CANDY CANE,FOODON_03301051;FOODON_03303749
802,B000802,MINTS,NCBITaxon_21819
803,B000803,RICE PUDDING,FOODON_03305135;NCBITaxon_4530;FOODON_03301660
804,B000804,BLOOD,FOODON_03317130;UBERON_0000178
805,B000805,CHOCOLATE ICE CREAM,FOODON_03307240;FOODON_03305848;FOODON_03301926
806,B000806,BUDDHA'S HAND,NCBITaxon_171251
807,B000807,BLACK TEA,NCBITaxon_4442
808,B000808,SOUR CREAM TOPPING,FOODON_03307882;FOODON_03302515
809,B000809,FRUIT SPREAD,PO_0009001;FOODON_03302441
810,B000810,TEMPURA BATTER,FOODON_03304344;FOODON_03301304
811,B000811,FRUCTOSE,CHEBI_28757;FOODON_03316754
812,B000812,CRYSTAL,FOODON_03430143
813,B000813,CANE SYRUP,FOODON_03303225;FOODON_03301847
814,B000814,DURIAN,NCBITaxon_66656
815,B000815,HUSK,FOODON_03420181
816,B000816,CHOCOLATE ICING,FOODON_03307240;FOODON_03302823
817,B000817,HOUSE,ENVO_01000417
818,B000818,CITRUS JUICE,FOODON_03305742;NCBITaxon_2706
819,B000819,CELLOPHANE,FOODON_03500031
820,B000820,GUAVA,NCBITaxon_120290
821,B000821,WAFER,FOODON_03316443
822,B000822,ZWIEBACK,FOODON_03302549
823,B000823,BANANA CREAM PIE,FOODON_03307352;NCBITaxon_89151;FOODON_03306778
824,B000824,PIE CRUST MIX,FOODON_03310705
825,B000825,CHOCOLATE FILLING,FOODON_03307240;FOODON_03306719
826,B000826,FRUITCAKE,FOODON_03301635
827,B000827,CHEESECAKE BATTER,FOODON_03301304;FOODON_03301729;FOODON_03311873
828,B000828,FRUIT FILLING,PO_0009001;FOODON_03301540
829,B000829,GRAPE JAM,FOODON_03302176;FOODON_03309973
830,B000830,FROGS,NCBITaxon_8342
831,B000831,BRAZIL,GAZ_00002828
832,B000832,RED GRAPEFRUIT,FOODON_03305561;NCBITaxon_37656
833,B000833,GELATIN SALAD,FOODON_03307885;FOODON_03316042;CHEBI_5291
834,B000834,CEREAL FLAKES,FOODON_03315540
835,B000835,HEIGHT,PATO_0000119
836,B000836,FLAN,FOODON_03307178
837,B000837,CASHEW,NCBITaxon_171929
838,B000838,CONSTRUCTION,ENVO_00000070
839,B000839,EAR,UBERON_0001690
840,B000840,LICORICE CANDY,FOODON_03301663;FOODON_03301051
841,B000841,ICE-CREAM,FOODON_00001045;FOODON_03301926
842,B000842,CORN SNACK,FOODON_00001764;NCBITaxon_381124
843,B000843,MARZIPAN,FOODON_03315555
844,B000844,LITER,UO_0000099
845,B000845,ICE CREAM SANDWICH,FOODON_03305472;FOODON_03301906;FOODON_03301926
846,B000846,FROZEN DESSERT,FOODON_03302800;PATO_0001985
847,B000847,SOFT DRINK,FOODON_00002253;FOODON_03310815;PATO_0000387
848,B000848,QUESADILLA,FOODON_00002538
849,B000849,TRIPLE SEC,FOODON_00002551
850,B000850,SPEARMINT,NCBITaxon_29719
851,B000851,JELLY BEAN,FOODON_03302883
852,B000852,CHOCOLATE COOKIE,FOODON_03307240;FOODON_03301585;FOODON_03302882
853,B000853,PECAN PIE FILLING,FOODON_03306766;FOODON_03315125;FOODON_03306781
854,B000854,PECAN PIE,FOODON_03306781;NCBITaxon_32201
855,B000855,CORN HUSK,FOODON_03301388;NCBITaxon_381124;FOODON_03420181
856,B000856,MAN,NCBITaxon_9606;FOODON_03510251
857,B000857,VEGETABLE OIL SPREAD,FOODON_03305263;FOODON_03302874
858,B000858,BATTER MIX,FOODON_03315887;FOODON_03301304
859,B000859,BEARS,NCBITaxon_9632
860,B000860,CHOCOLATE CHIP COOKIE,FOODON_03301585;FOODON_03304096;FOODON_03302850
861,B000861,AGAR,CHEBI_2509
862,B000862,SWEET BEAN PASTE,FOODON_00002387;FOODON_03315362;FOODON_00002388
863,B000863,BLACK CHERRY,NCBITaxon_23207
864,B000864,CHERRY JAM,FOODON_03309973;FOODON_03301252;FOODON_03301240
865,B000865,PALM SUGAR,FOODON_03304565;FOODON_03420108
866,B000866,MULBERRIES,NCBITaxon_3497
867,B000867,CHERRY LIQUEUR,FOODON_03305860;FOODON_03301008;FOODON_03301240
868,B000868,CHURRO,FOODON_03312034
869,B000869,CLEMENTINE,FOODON_03303079
870,B000870,CHOCOLATE-COVERED PEANUT,FOODON_03307240;FOODON_03309829;NCBITaxon_3818
871,B000871,PUMPKINS,NCBITaxon_3660
872,B000872,WHITE CHOCOLATE COATING,FOODON_03301329;FOODON_03302909
873,B000873,BARLEY MALT,NCBITaxon_4513;FOODON_03301018;FOODON_03306040
874,B000874,COTTON CANDY,FOODON_03301900;FOODON_03301051;NCBITaxon_3635
875,B000875,PEAR JUICE,FOODON_03301294;FOODON_03301724;FOODON_00002102
876,B000876,GERMAN,hancestro_0364;ancestro_0364
877,B000877,CAROB POWDER,FOODON_03302170
878,B000878,ORANGE DRINK,FOODON_03309832;FOODON_03301100
879,B000879,GRUNT,FOODON_03411813
880,B000880,CAPPUCCINO,FOODON_03303096
881,B000881,LEMON BUTTER,FOODON_03302436;FOODON_03310351;FOODON_03301441
882,B000882,PUFFED RICE CEREAL,FOODON_03302841;FOODON_03310609
883,B000883,MINT JELLY,FOODON_03305875
884,B000884,FOOT,UO_0010013
885,B000885,CHERRY PRESERVES,FOODON_03301240;FOODON_03306995
886,B000886,FRUIT SYRUP,FOODON_03304333;FOODON_03303225;PO_0009001
887,B000887,CITRUS PEEL,FOODON_03303068;NCBITaxon_2706
888,B000888,ICE CREAM MIX,FOODON_03305667;FOODON_03301926
889,B000889,TREACLE,FOODON_03307582
890,B000890,LEMON PIE FILLING,FOODON_03306679;FOODON_03306766;FOODON_03311477
891,B000891,LEMON PIE,FOODON_03306679;FOODON_03301441
892,B000892,GUAR GUM,NCBITaxon_3832;FOODON_03413114
893,B000893,FRUIT PUREE,PO_0009001;FOODON_03310649
894,B000894,TAMALE,FOODON_03304758
895,B000895,PASSION FRUIT PULP,FOODON_03411634;FOODON_03301109;FOODON_03307022
896,B000896,BUTTER CREAM,FOODON_03310351;FOODON_03302542
897,B000897,SITE,BFO_0000029
898,B000898,BLIND BAKING,FOODON_03450046
899,B000899,KIDNEY BEAN,UBERON_0002113;NCBITaxon_3885
900,B000900,CHOCOLATE CUSTARD,FOODON_03307240;FOODON_03302946;FOODON_03303341
901,B000901,COCONUT CUSTARD,FOODON_03302946;FOODON_03309736
902,B000902,PECAN MEAL,FOODON_03311218;NCBITaxon_32201
903,B000903,BLUEBERRY JAM,FOODON_03301125;FOODON_03309973
904,B000904,DIGESTIVE BISCUIT,FOODON_03309518
905,B000905,LECITHIN,CHEBI_61995
906,B000906,POMELO,NCBITaxon_37334
907,B000907,LYCHEE,NCBITaxon_151069
908,B000908,KINAKO,FOODON_03315449
909,B000909,MANGO NECTAR,FOODON_03304361;NCBITaxon_29780
910,B000910,LEMON SHERBET,FOODON_03301441;FOODON_03302854;FOODON_03305429
911,B000911,BUTTER COOKIE,FOODON_03301585;FOODON_03310351;FOODON_03303155
912,B000912,PUFFED WHEAT CEREAL,FOODON_03312031;FOODON_03302842
913,B000913,CREAM SWEETENED,FOODON_03310474
914,B000914,BITTER MELON,NCBITaxon_3673
915,B000915,MANDARIN ORANGE JUICE,NCBITaxon_85571;FOODON_00002019
916,B000916,LIME MARMALADE,FOODON_03306377;FOODON_03305086;FOODON_03306389
917,B000917,STEEPING,FOODON_03450036
918,B000918,BLUEBERRY JUICE,FOODON_00002512
919,B000919,RED BEAN PASTE,FOODON_03311285;FOODON_03315362
920,B000920,TANGERINE JUICE,FOODON_03315108;FOODON_03305751
921,B000921,BUBBLE GUM,FOODON_03301726
922,B000922,BANANA CHIP,NCBITaxon_89151;FOODON_03307587
923,B000923,SUGAR COOKIE,FOODON_03301585;FOODON_03303165;FOODON_03420108
924,B000924,CAKE ROLL,FOODON_03304529
925,B000925,DEEP-FRYING,FOODON_03450029
926,B000926,DANDELION,NCBITaxon_50225
927,B000927,GELATIN DESSERT,FOODON_03305342;CHEBI_5291
928,B000928,WHITE GRAPE JUICE,FOODON_03309404;FOODON_00001926
929,B000929,NUT BUTTER,FOODON_03310351;FOODON_03302438
930,B000930,APPLICATION,CHEBI_33232
931,B000931,DANISH,hancestro_0359;ancestro_0359
932,B000932,FIELD,ENVO_01000352
933,B000933,FRUIT CAKE,FOODON_03301635;PO_0009001
934,B000934,GARDEN,ENVO_00000011
935,B000935,HONEY BUN,UBERON_0036016;FOODON_03302314
936,B000936,BUCKEYES,NCBITaxon_43363
937,B000937,PEPPERMINT PATTY,FOODON_03304824;NCBITaxon_34256
938,B000938,SOLID LAYER,ENVO_01000281;ENVO_01001275
939,B000939,GELATO,FOODON_03305076
940,B000940,FRUIT TOPPING,PO_0009001;FOODON_03315053
941,B000941,PIE FILLING MIX,FOODON_03306766;FOODON_03315696;FOODON_03315705
942,B000942,CREME DE MENTHE LIQUEUR,FOODON_03301606;FOODON_03301008
943,B000943,CHAR,FOODON_03414051
944,B000944,FRUIT PIE FILLING,FOODON_03307431;FOODON_03306766;FOODON_03306763
945,B000945,FRUIT PIE,FOODON_03307431;PO_0009001
946,B000946,CASTOR SUGAR,NCBITaxon_10184;FOODON_03420108;FOODON_03307549
947,B000947,QUALITY,BFO_0000019;PATO_0000001
948,B000948,EGG BUTTER,FOODON_03310351;FOODON_03302447
949,B000949,LIGHT WHIPPING CREAM,FOODON_03301796;FOODON_03420154
950,B000950,ASPARTAME,CHEBI_2877
951,B000951,COCONUT PRESERVES,FOODON_03303952
952,B000952,COFFEE CAKE,FOODON_03302898
