ID|Food Concept|Semantic Tags
A004279|BIGGER WATER CHESTNUTS|AG.01.z [Water]
A004280|PEPPERONI MIXTURE|AG.01.af [Tea manufacture]
A004281|SHREDDED KALE|AG.01 [Food]
A004282|KIDS|AG.01.d [Animals for food]
A004283|BANANA KETCHUP|AG.01.h.01 [Fruit/a fruit]
A004284|FLAT CRAB CAKES|AG.01.n.11 [Bread];AG.01.d.07 [Seafood];AG.01.n.13 [Cake]
A004285|INCH THICK PATTIES|AG.01.n.17.a [Sweets];AG.01.n.15 [Pastry];AG.01.n [Dishes and prepared food]
A004286|MARINATED PRETZELS|AG.01.t.05 [Preparation for table/cooking];AG.01.t.06 [Preserving/pickling];AG.01.n.14 [Biscuit]
A004287|LEFTOVER SEEDS|AF.10.i [Seed]
A004288|FLIP BREAD SLICES|AG.01.n.11 [Bread];AG.01.t.08 [Equipment for food preparation]
A004289|THICK COATING|AG.01 [Food]
A004290|SALMON ROE|AG.01.d.07 [Seafood]
A004291|THIN GLAZE|AG.01 [Food]
A004292|MUFFIN PIECES|AG.01.n.11 [Bread];AG.01.n.13 [Cake];AG.01.w [Setting table]
A004293|OTHER SEASONINGS|AG.01.t.05 [Preparation for table/cooking];AG.01.l [Additive]
A004294|FRIED PLANTAINS|AG.01.t.07 [Cooking]
A004295|HOT NUTS|AG.01.h.01.f [Nut];AG.01 [Food]
A004296|UNCOOKED BISCUIT|AG.01.n.11 [Bread];AG.01.n.13 [Cake];AG.01.n.14 [Biscuit];AG.01.t.07 [Cooking]
A004297|MOZZARELLA CUBE|AG.01.e.02 [Cheese]
A004298|MOZZARELLA CUBES|AG.01.e.02 [Cheese]
A004299|DRY BREAD|AG.01.n.11 [Bread]
A004300|ROUND CRACKERS|AG.01 [Food]
A004301|HOLLOWED SHELL|AG.01.o [Animal food]
A004302|GARLIC PRESS|AG.01.h.02.e [Onion/leek/garlic]
A004303|FRINGE|AF.10 [Part of plant]
A004304|BRAIDED DOUGH|AG.01.n.11 [Bread]
A004305|CREAM CHEESE DILL SIDE|AG.01.e [Dairy produce];AG.01.n [Dishes and prepared food];AG.01.n.18 [Preserve];AG.01.h.02.i [Herb];AG.01.e.02 [Cheese]
A004306|SET SAUCE|AG.01.h [Fruit and vegetables];AG.01.l.04 [Sauce/dressing]
A004307|COOLED BUFFALO SAUCE|AG.01.h [Fruit and vegetables];AG.01.l.04 [Sauce/dressing]
A004308|CHICKPEA FLOUR|AG.01.j [Meal];AG.01.k [Flour]
A004309|COOL RICE|AG.01.i [Corn/cereals/grain]
A004310|OTHER ROLLS|AG.01.n.11 [Bread]
A004311|SCALLOP MIXTURE|AG.01.d [Animals for food];AG.01.af [Tea manufacture]
A004312|SIZED BALLS|AG.01 [Food]
A004313|FLATTENED DISK|AG.01 [Food]
A004314|SMALL HOLES|AG.01 [Food]
A004315|GELATIN MIX|AG.01.m [Substances for food preparation];AG.01 [Food]
A004316|WATER CRACKERS|AG.01.z [Water]
A004317|CANDY COATED CHOCOLATES|AG.01.n.17.a [Sweets];AG.01.m [Substances for food preparation];AG.01.l.02 [Sweetener (syrup/honey/chocolate)]
A004318|PINEAPPLE CHUCK|AG.01.d.03 [Beef]
A004319|MARINATED APPETIZERS|AG.01.t.05 [Preparation for table/cooking];AG.01.t.06 [Preserving/pickling]
A004320|BACON GOLDEN BROWN|AG.01.d.05 [Pork]
A004321|TOMATO CHUNKS|AG.01.h.02.f [Fruits as vegetables]
A004322|ASPARAGUS ROLLS|AG.01.n.11 [Bread];AG.01.h.02.b [Stalk vegetables]
A004323|CREAM CHEESES|AG.01.e [Dairy produce];AG.01.n.18 [Preserve];AG.01.e.02 [Cheese];AG.01.n [Dishes and prepared food]
A004324|FROZEN ASPARAGUS|AG.01.h.02.b [Stalk vegetables];AG.01.t.06 [Preserving/pickling]
A004325|FLOUR BLEND|AG.01.k [Flour]
A004326|GLAZE MIXTURE|AG.01.af [Tea manufacture]
A004327|SAUTE KIELBASA|AG.01 [Food]
A004328|DISCS|AG.01 [Food]
A004329|CHEESE CRISPIES|AG.01.n.18 [Preserve];AG.01.e.02 [Cheese]
A004330|CORN MEAL|AG.01.j [Meal];AG.01.r [Meal];AG.01.i [Corn/cereals/grain]
A004331|THICK BATTER FORMS|AG.01.m [Substances for food preparation]
A004332|HEAVY FRYING PAN HEAT OIL|AG.01.n.11 [Bread];AG.01.t.07 [Cooking];AG.01.f [Fat/oil]
A004333|MUSTARD SEEDS|AG.01.l.03 [Spice]
A004334|JUMBO OLIVE|AG.01.h.01.e [Fruit containing stone]
A004335|CARROT SLICE|AG.01.t.08 [Equipment for food preparation];AG.01.h.02.a [Root vegetable]
A004336|SMALL OLIVE|AG.01.h.01.e [Fruit containing stone]
A004337|BEAK|AE.13.f [Parts of/bird defined by];AF.10 [Part of plant];AE.07 [Animal body]
A004338|BIG OLIVE|AG.01.h.01.e [Fruit containing stone]
A004339|LARGE HOLE SIDE|AG.01 [Food]
A004340|LARGE OLIVE|AG.01.h.01.e [Fruit containing stone]
A004341|CREAM CHEESE CHEST|AG.01.e [Dairy produce];AG.01.n.18 [Preserve];AG.01.e.02 [Cheese];AG.01.n [Dishes and prepared food]
A004342|CARROT SLICE LINE|AG.01.t.08 [Equipment for food preparation];AG.01.h.02.a [Root vegetable]
A004343|ROLL BOTTOMS|AG.01.n.11 [Bread]
A004344|SNOW CRAB|AG.01.d.07 [Seafood]
A004345|SLIVERED GARLIC|AG.01.h.02.e [Onion/leek/garlic]
A004346|ROMA TOMATO MIXTURE|AG.01.h.02.f [Fruits as vegetables];AG.01.af [Tea manufacture]
A004347|CRESCENT ROLL UPS|AE [Animals]
A004348|ASSORTED CHOCOLATE CHIPS|AG.01.n.17.a [Sweets];AG.01.m [Substances for food preparation]
A004349|SESAME MIXTURE|AG.01.af [Tea manufacture];AG.01.i [Corn/cereals/grain]
A004350|PEPPERONCINI PEPPER|AG.01.l.03 [Spice]
A004351|REDUCED VINEGAR|AG.01.ae.01 [Wine-making];AG.01.l [Additive]
A004352|GOAT CHEESE TOPPED BRUSCHETTA|AG.01.n.18 [Preserve];AG.01.e.02 [Cheese]
A004353|ADDITIONAL THYME|AG.01.h.02.i [Herb]
A004354|BANANA SLICE|AG.01.t.08 [Equipment for food preparation];AG.01.h.01 [Fruit/a fruit]
A004355|GRINCH 'S HEAD|AG.01 [Food]
A004356|GARLIC PASTE|AG.01.h.02.e [Onion/leek/garlic];AG.01.n.17 [Confections/sweetmeats];AG.01.l [Additive]
A004357|ROLL HALF|AG.01.n.11 [Bread]
A004358|COOKED NUTS|AG.01.t.07 [Cooking];AG.01.h.01.f [Nut]
A004359|CHEWY BARS|AG.01.b [Consistency of food];AG.01.ak.01 [Drinking place]
A004360|THAWED PASTRY|AG.01.n.15 [Pastry]
A004361|PASTRY BALL|AG.01.n.15 [Pastry]
A004362|COOL PLACE COATED CEREAL|AG.01.i [Corn/cereals/grain]
A004363|LARGE BALLS|AG.01 [Food]
A004364|RED CURRANT JELLY|AG.01.n.04 [Jelly];AG.01.h.01.b [Berry]
A004365|SMOKY SAUSAGES|AG.01.n.05 [Sausage]
A004366|LITTLE SMOKY SAUSAGES|AG.01.n.05 [Sausage]
A004367|JALAPENO JUICE|AG.01.l.02 [Sweetener (syrup/honey/chocolate)];AG.01.ab [Fruit juice/squash]
A004368|RESERVED BREAD|AG.01.n.11 [Bread]
A004369|HORSERADISH ROOT|AG.01.h.02.a [Root vegetable]
A004370|FACE|AG.01 [Food]
A004371|CHERRY JUICE|AG.01.y.01.a [Wine];AG.01.ab [Fruit juice/squash];AG.01.l.02 [Sweetener (syrup/honey/chocolate)];AG.01.m [Substances for food preparation];AG.01.h.01.e [Fruit containing stone]
A004372|MONTEREY JACK CHEESE CUBES|AG.01.n.18 [Preserve];AG.01.e.02 [Cheese]
A004373|JALAPENO BALLS|AG.01 [Food]
A004374|WHOLE BEANS|AG.01.e [Dairy produce]
A004375|RESERVED BEANS|AF.20.f [Pulses/plants producing pulses]
A004376|HOT BREAD ROLL MIX|AG.01.n.11 [Bread];AG.01.m [Substances for food preparation];AG.01 [Food]
A004377|ROOM TEMPERATURE BEER|AG.01.y.01.b [Ale/beer]
A004378|BAKED DOUGH|AG.01.n.11 [Bread];AG.01.t.07 [Cooking]
A004379|CHOPPED BROCCOLI|AG.01 [Food]
A004380|TRIANGULAR STUFFED PASTRY|AG.01.t.05 [Preparation for table/cooking];AG.01.n.15 [Pastry]
A004381|TOPPED BREAD SLICES|AG.01.n.11 [Bread];AG.01.t.08 [Equipment for food preparation]
A004382|SMALL HOLE|AG.01 [Food]
A004383|PIPE CREAM CHEESE MIXTURE|AG.01.e [Dairy produce];AG.01.n [Dishes and prepared food];AG.01.n.18 [Preserve];AG.01.af [Tea manufacture];AG.01.e.02 [Cheese]
A004384|YOGURT-COVERED RAISINS|AG.01.h.01.b [Berry];AG.01.h.01 [Fruit/a fruit]
A004385|ALL-PURPOSE BAKING MIX|AG.01.n.11 [Bread];AG.01.m [Substances for food preparation];AG.01.t.07 [Cooking]
A004386|ZUCCHINI HALF|AG.01.h.02.f [Fruits as vegetables]
A004387|ZUCCHINI HALVES|AG.01.h.02.f [Fruits as vegetables]
A004388|STUFFED ZUCCHINI|AG.01.h.02.f [Fruits as vegetables];AG.01.t.05 [Preparation for table/cooking]
A004389|CHEDDAR CHEESE MIXTURE|AG.01.n.18 [Preserve];AG.01.af [Tea manufacture];AG.01.e.02 [Cheese]
A004391|HUSH PUPPY|AE.14.d.02 [Dog]
A004392|CORED STRAWBERRIES|AG.01.h.01.c [Apple];AG.01.h.01.b [Berry]
A004393|CRUSHED GRAHAM CRACKERS|AG.01.k [Flour]
A004394|HERB|AG.01.h.02.i [Herb]
A004395|GARLIC FETA|AG.01.h.02.e [Onion/leek/garlic];AG.01.e.02 [Cheese]
A004396|SOURDOUGH BREAD SLICES|AG.01.n.11 [Bread];AG.01.t.08 [Equipment for food preparation]
A004397|CREAM CHEESE BLEND|AG.01.e [Dairy produce];AG.01.n.18 [Preserve];AG.01.e.02 [Cheese];AG.01.n [Dishes and prepared food]
A004398|SHREDDED CORNED BEEF|AG.01.t.06 [Preserving/pickling];AG.01.d.03 [Beef];AG.01.t.05 [Preparation for table/cooking]
A004399|BRICK-BROWN BACON COLOUR|AG.01.d.05 [Pork]
A004400|JAM CONSISTENCY|AG.01.n.18 [Preserve]
A004401|LARGE HOLE|AG.01 [Food]
A004402|HOT CHEESE MIXTURE|AG.01.n.18 [Preserve];AG.01.af [Tea manufacture];AG.01.e.02 [Cheese];AG.01 [Food]
A004403|TURKEY SAUSAGE LINK|AG.01.d.06 [Fowls];AG.01.n.05 [Sausage]
A004404|CHOPPED SAUSAGE|AG.01.n.05 [Sausage]
A004405|GOLF SIZED BALLS|AG.01 [Food]
A004406|BUTTER CRACKERS|AG.01.e.01 [Butter];AG.01.n [Dishes and prepared food]
A004407|CHILL DOUGH|AG.01.n.11 [Bread]
A004408|FRESNO PEPPERS|AG.01.l.03 [Spice]
A004409|GRILLED PITA|AG.01.t.07 [Cooking]
A004410|JACK CHEESE|AG.01.n.18 [Preserve];AG.01.e.02 [Cheese]
A004411|GARLIC BREAD|AG.01.n.11 [Bread];AG.01.h.02.e [Onion/leek/garlic]
A004412|DEVILED YOLK MIXTURE|AG.01.af [Tea manufacture];AG.01.g [Eggs]
A004413|SOLID BALL|AF.10 [Part of plant]
A004414|COVERED OLIVES|AG.01.h.01.e [Fruit containing stone]
A004415|GOAT CHEESE MIXTURE|AG.01.n.18 [Preserve];AG.01.af [Tea manufacture];AG.01.e.02 [Cheese]
A004416|SMALL ROUND PATTIES|AG.01.n.15 [Pastry];AG.01.n [Dishes and prepared food]
A004417|POTATO FLAKES|AG.01.h.02.a [Root vegetable]
A004418|TOP PEPPERS|AG.01.l.03 [Spice]
A004419|COLOUR PEPPER|AG.01.l.03 [Spice]
A004420|ROASTED RED PEPPERS LAST|AG.01.h.02.f [Fruits as vegetables];AG.01.t.07 [Cooking]
A004421|ROUND BREAD|AG.01.n.11 [Bread]
A004422|RESERVED REMOVED BREAD PIECES|AG.01.n.11 [Bread]
A004423|VEGETABLE OIL MIXTURE|AG.01.af [Tea manufacture];AG.01.f [Fat/oil]
A004424|COATED PRETZELS|AG.01.n.14 [Biscuit]
A004425|MICROWAVE BROWN SUGAR|AG.01.t.08 [Equipment for food preparation];AG.01.t.07 [Cooking]
A004426|MICROWAVE VANILLA|AG.01.t.08 [Equipment for food preparation];AG.01.t.07 [Cooking]
A004427|CHOPPED HAM SLICES|AG.01.t.08 [Equipment for food preparation];AG.01.d.02 [Part/joint of animal]
A004428|FAVOURITE NACHO TOPPINGS|AG.01.n.09 [Prepared vegetables and dishes]
A004429|THAWED PUFF PASTRY|AG.01.n.15 [Pastry]
A004430|FROZEN STEAK PIECES|AG.01.n.11 [Bread];AG.01.d.07 [Seafood];AG.01.t.06 [Preserving/pickling];AG.01.d [Animals for food]
A004431|STEAK MIXTURE|AG.01.d [Animals for food];AG.01.d.07 [Seafood];AG.01.af [Tea manufacture]
A004432|BARBECUE SAUCE MIXTURE|AG.01.t.08 [Equipment for food preparation];AG.01.h [Fruit and vegetables];AG.01.r.04 [Picnic/packed meal];AG.01.l.04 [Sauce/dressing];AG.01.af [Tea manufacture]
A004433|PARIS TOASTS|AG.01.n.11 [Bread];AG.01.ak [Drinking]
A004434|OTHER DRIED BREADS|AG.01.n.11 [Bread]
A004435|LOOSE SPREAD CONSISTENCY|AG.01.l [Additive]
A004436|SQUID|AE.08 [Invertebrates]
A004437|NAPA CABBAGE|AG.01.h.02.d [Cabbage/kale]
A004438|DUMPLINGS STEAM|AG.01.n.03 [Puddings]
A004439|CHICKEN GIZZARDS|AG.01.d.06 [Fowls]
A004440|GIZZARDS|AE.13.f [Parts of/bird defined by];AE.07 [Animal body]
A004441|RESERVED BROTH|AG.01.n.02 [Soup/pottage]
A004442|SEASONED GIZZARDS|AG.01.t.05 [Preparation for table/cooking]
A004443|CHOPPED VEGETABLES|AF.02.a [Food plant/vegetable]
A004444|STIR-FRY SAUCE MIXTURE|AG.01.t.07 [Cooking];AG.01.af [Tea manufacture];AG.01.h [Fruit and vegetables];AG.01.l.04 [Sauce/dressing]
A004445|TOASTED SEEDS|AG.01.t.07 [Cooking]
A004446|CRISP RICE CEREAL|AG.01.i [Corn/cereals/grain]
A004447|BLEU CHEESE SALAD DRESSING|AG.01.n.18 [Preserve];AG.01.n.09 [Prepared vegetables and dishes];AG.01.h.02 [Vegetables];AG.01.e.02 [Cheese]
A004448|LOAVES|AG.01.n.11 [Bread];AG.01.n.06 [Meat dishes];AG.01.l.02 [Sweetener (syrup/honey/chocolate)]
A004449|HOT CRAB|AG.01.d.07 [Seafood];AG.01 [Food]
A004450|WON TON SKIN|AE.08.i [Class Insecta (insects)]
A004451|DASH BLACK PEPPER|AG.01.t.02 [Preparation of dairy produce]
A004452|DASH CAYENNE PEPPER|AG.01.t.02 [Preparation of dairy produce];AG.01.l.03 [Spice]
A004453|1-INCH DIAMETER CORE|AG.01.h.01 [Fruit/a fruit]
A004454|ONION RIGHT SIDE|AG.01.h.02.e [Onion/leek/garlic]
A004455|LONG PULSES|AG.01.h.02.g [Pulse]
A004456|DRAINED CHEESE|AG.01.n.18 [Preserve];AG.01.e.02 [Cheese]
A004457|COOKED PASTA SHELLS|AG.01.t.07 [Cooking];AG.01.o [Animal food];AG.01.n [Dishes and prepared food]
A004458|BOILING LIQUID|AG.01 [Food]
A004459|COLD SHRIMP|AG.01.d.07 [Seafood]
A004460|CHILLED SAUCE|AG.01.t.05 [Preparation for table/cooking];AG.01.t.06 [Preserving/pickling];AG.01.h [Fruit and vegetables];AG.01.l.04 [Sauce/dressing]
A004461|REFRIGERATOR ROLL|AG.01.n.11 [Bread];AG.01.t.06 [Preserving/pickling]
A004462|BEAN 'S SPROUTS|AF.10.b [Shoot/sprout/branch];AF.10.i [Seed];AF.06 [Plants defined by growth/development];AF.20.f [Pulses/plants producing pulses]
A004463|SPROUTED BEANS|AF.06 [Plants defined by growth/development];AF.20.f [Pulses/plants producing pulses]
A004464|BEAR-SHAPED GRAHAM COOKIES|AG.01 [Food]
A004465|GOLDEN RAISINS|AG.01.h.01.b [Berry];AG.01.h.01 [Fruit/a fruit]
A004466|HONEY GRAHAM CEREAL MIXTURE|AG.01.k [Flour];AG.01.af [Tea manufacture];AG.01.i [Corn/cereals/grain];AG.01.l.02 [Sweetener (syrup/honey/chocolate)]
A004467|TOMATO SEEDS|AG.01.h.02.f [Fruits as vegetables]
A004468|MILLED LIQUID|AG.01.t.01 [Preparation of grain]
A004469|PUREE CILANTRO|AG.01 [Food]
A004470|TOMATO LIQUID|AG.01.h.02.f [Fruits as vegetables]
A004471|PEPPERONI PIECES|AG.01.n.11 [Bread]
A004472|WHITEFISH|AE.10.d [Order Salmoniformes (salmon, trout)];AE.10 [Fish]
A004473|HOT EGGS|AG.01.g [Eggs];AG.01 [Food]
A004474|SET SHRIMP|AG.01.d.07 [Seafood]
A004475|WET SHRIMP|AG.01.d.07 [Seafood]
A004476|HOT SHRIMP|AG.01.d.07 [Seafood];AG.01 [Food]
A004477|RESERVED MUSHROOM|AG.01.h.02.h [Fungi]
A004478|CHEESE BLEND|AG.01.n.18 [Preserve];AG.01.e.02 [Cheese]
A004479|ADDITIONAL SEASONING|AG.01.t.05 [Preparation for table/cooking];AG.01.l [Additive]
A004480|GREEK OLIVES|AG.01.h.01.e [Fruit containing stone]
A004481|WARM PICKLES|AG.01.t.06 [Preserving/pickling]
A004482|SUGAR COATING|AG.01.l.02 [Sweetener (syrup/honey/chocolate)]
A004483|WARM OIL|AG.01.f [Fat/oil]
A004484|RESERVED GARLIC|AG.01.h.02.e [Onion/leek/garlic]
A004485|COOLED PUFF PASTRY SHELLS|AG.01.n.15 [Pastry];AG.01.o [Animal food]
A004486|PUFF PASTRY SHELLS|AG.01.n.15 [Pastry];AG.01.o [Animal food]
A004487|WHOLE SHRIMP|AG.01.d.07 [Seafood];AG.01.e [Dairy produce]
A004488|SHOYU SAUCE|AG.01.h [Fruit and vegetables];AG.01.l.04 [Sauce/dressing]
A004489|COOKED EGGPLANT|AG.01.t.07 [Cooking]
A004490|EGGPLANT BALLS|AG.01 [Food]
A004491|HEAT VEGETABLE OIL|AG.01.f [Fat/oil]
A004492|PREPARED MEATBALLS|AG.01 [Food]
A004493|BREAD RECTANGLE|AG.01.n.11 [Bread]
A004494|BREAD ROLLS|AG.01.n.11 [Bread]
A004495|MELTED CHOCOLATE CHIPS|AG.01.n.17.a [Sweets];AG.01.m [Substances for food preparation];AG.01.t.07 [Cooking];AG.01 [Food]
A004496|CIGAR STYLE|AF.13.c [Non-British trees/shrubs]
A004497|DISC|AG.01 [Food]
A004498|WHITE MEMBRANE|AF.10.k [Cell/aggregate tissue]
A004499|HOLLOW PEPPER|AG.01.l.03 [Spice]
A004500|CHEESE STUFFING|AG.01.n.18 [Preserve];AG.01.e.02 [Cheese];AG.01.l [Additive]
A004501|HALF BACON SLICE|AG.01.d.05 [Pork];AG.01.t.08 [Equipment for food preparation]
A004502|HOT WINGS|AG.01 [Food]
A004503|WRAPPED BRIE|AG.01 [Food]
A004504|ADDITIONAL PUFF PASTRY|AG.01.n.15 [Pastry]
A004505|APPLES SLICES|AG.01.t.08 [Equipment for food preparation];AG.01.h.01.c [Apple]
A004506|APPLE CHIPS|AG.01.h.01.c [Apple]
A004507|EASY NIBBLING|AG.01.x.01 [Eating]
A004508|ROLLED SPRING ROLLS|AG.01 [Food]
A004509|HOISIN SAUCE MIXTURES|AG.01.af [Tea manufacture];AG.01.h [Fruit and vegetables];AG.01.l.04 [Sauce/dressing]
A004510|LARGE CRESCENT ROLLS|AG.01.n.11 [Bread]
A004511|COOLED ONIONS|AG.01.h.02.e [Onion/leek/garlic]
A004512|SERRANO HAM|AG.01.d.02 [Part/joint of animal]
A004513|GREEN ONIONS MIXTURE|AG.01.h.02.e [Onion/leek/garlic];AG.01.af [Tea manufacture]
A004514|CREAM CHEESE SLICES|AG.01.t.08 [Equipment for food preparation];AG.01.e [Dairy produce];AG.01.n [Dishes and prepared food];AG.01.n.18 [Preserve];AG.01.e.02 [Cheese]
A004515|EXCESS GLAZE|AG.01 [Food]
A004516|OKRA BATTER|AG.01.m [Substances for food preparation]
A004517|BAKED CRAB|AG.01.d.07 [Seafood];AG.01.t.07 [Cooking]
A004518|BREADED ZUCCHINI|AG.01.h.02.f [Fruits as vegetables];AG.01.t.05 [Preparation for table/cooking]
A004519|FRY BREADED ZUCCHINI|AG.01.h.02.f [Fruits as vegetables];AG.01.s [Providing/receiving food];AG.01.t.05 [Preparation for table/cooking]
A004520|MOZZARELLA CHEESE SLICES|AG.01.t.08 [Equipment for food preparation];AG.01.n.18 [Preserve];AG.01.e.02 [Cheese]
A004521|BOILED EGGS|AG.01.t.07 [Cooking];AG.01.g [Eggs]
A004522|TINY MEATBALLS|AG.01 [Food]
A004523|SWEET ONIONS|AG.01.h.02.e [Onion/leek/garlic]
A004524|LITTLE EGG ROLL|AG.01 [Food]
A004525|CHICKEN LIVER MIXTURE|AG.01.d.06 [Fowls];AG.01.af [Tea manufacture]
A004526|CHILLED EGGS|AG.01.t.05 [Preparation for table/cooking];AG.01.t.06 [Preserving/pickling];AG.01.g [Eggs]
A004527|SERRANO CHILE|AG.01 [Food]
A004528|HERBS MIX|AG.01.h.02.i [Herb]
A004529|ITALIAN BREAD LOAF|AG.01.n.11 [Bread];AG.01.n.06 [Meat dishes]
A004530|TEST KERNELS|AF.10.h [Reproductive product - fruit, nut]
A004531|LUNCH SACKS|AG.01.r [Meal]
A004532|SANDWICH BAGS|AG.01.n.11 [Bread]
A004533|MUSCOVADO SUGAR|AG.01.l.02 [Sweetener (syrup/honey/chocolate)]
A004534|SEASONED BEEF|AG.01.d.03 [Beef];AG.01.t.05 [Preparation for table/cooking]
A004535|FIG HALVES|AG.01.h.01 [Fruit/a fruit]
A004536|PORK CUBES|AG.01.d.05 [Pork]
A004537|COOKED MARINADE|AG.01.m [Substances for food preparation];AG.01.t.07 [Cooking]
A004538|INSTANT PUDDING MIX|AG.01.m [Substances for food preparation];AG.01.n.03 [Puddings];AG.01 [Food]
A004539|PORK STRIPS|AG.01.d.05 [Pork]
A004540|RING SHAPED GELATIN MOLD|AG.01 [Food]
A004541|BREAD CRUMB-BACON MIXTURE|AG.01.n.11 [Bread];AG.01.af [Tea manufacture]
A004542|HOT DOG BUNS|AG.01.n.11 [Bread];AG.01.n.13 [Cake]
A004543|SAUTE GARLIC|AG.01.h.02.e [Onion/leek/garlic]
A004544|CRISPY CHICKEN WINGS|AG.01.d.06 [Fowls]
A004545|INDIVIDUAL ROLLS|AG.01.n.11 [Bread]
A004546|THAWED SHELLS|AG.01.o [Animal food]
A004547|CRAB SHELLS|AG.01.d.07 [Seafood];AG.01.o [Animal food]
A004548|GRILLED ONIONS|AG.01.h.02.e [Onion/leek/garlic];AG.01.t.07 [Cooking]
A004549|PIZZA ROLLS|AG.01.n.11 [Bread]
A004550|ARTICHOKE HEART|AG.01.h.02.b [Stalk vegetables]
A004551|DISH BOTTOM SIDE|AG.01.w [Setting table];AG.01.n [Dishes and prepared food]
A004552|BACON WRAPPED PINEAPPLE|AG.01.d.05 [Pork]
A004553|MEXICAN OREGANO|AG.01 [Food]
A004554|CONDENSED CHEESE SOUP|AG.01.n.18 [Preserve];AG.01.n.02 [Soup/pottage];AG.01.e.02 [Cheese]
A004555|TABASCO SAUCE|AG.01.t.05 [Preparation for table/cooking];AG.01.h [Fruit and vegetables];AG.01.l.04 [Sauce/dressing]
A004556|BROWN GROUND MEAT|AG.01.d [Animals for food];AG.01 [Food]
A004557|TOSTADA SHELLS|AG.01.n.12 [Pancake/tortilla/oatcake];AG.01.o [Animal food]
A004558|BUTTERMILK MARINADE|AG.01.e [Dairy produce];AG.01.m [Substances for food preparation]
A004559|EXCESS BUTTERMILK|AG.01.e [Dairy produce]
A004560|PEACH SALSA|AG.01.h.01.e [Fruit containing stone];AG.01.l.04 [Sauce/dressing]
A004561|PICKLE SLICES DRY|AG.01.t.08 [Equipment for food preparation];AG.01.t.06 [Preserving/pickling]
A004562|WITH|AG.01 [Food]
A004563|POTATO FLESH|AG.01.h.02.a [Root vegetable]
A004564|POTATO PIECE|AG.01.n.11 [Bread];AG.01.h.02.a [Root vegetable]
A004565|CHICKEN FLAVORED DRY|AG.01.d.06 [Fowls]
A004566|DESIRED FILLING|AG.01 [Food]
A004567|SLICED MUFFINS|AG.01.w [Setting table];AG.01.n.13 [Cake];AG.01.t.05 [Preparation for table/cooking]
A004568|BLEU CHEESE|AG.01.n.18 [Preserve];AG.01.e.02 [Cheese]
A004569|HOT CHICKEN|AG.01.d.06 [Fowls];AG.01 [Food]
A004570|REFRIGERATED DIP MIX|AG.01.m [Substances for food preparation];AG.01.t.06 [Preserving/pickling];AG.01.l.04 [Sauce/dressing]
A004571|CRISPY RICE|AG.01.i [Corn/cereals/grain]
A004572|WHEAT|AG.01.i [Corn/cereals/grain];AF.20.g [Cereal/corn/grain]
A004573|CRUSHED PECANS|AG.01.h.01.f [Nut]
A004574|GOAT CHEESE BALL|AG.01.n.18 [Preserve];AG.01.e.02 [Cheese]
A004575|SOURED MILK|AG.01.e [Dairy produce];AG.01.t.05 [Preparation for table/cooking]
A004576|EQUAL AMOUNTS COTTAGE CHEESE|AG.01 [Food]
A004577|SUNFLOWER SEED OIL|AG.01.f [Fat/oil]
A004578|FROZEN POTATO ROUNDS|AG.01.t.06 [Preserving/pickling];AG.01.h.02.a [Root vegetable];AG.01.y.01 [Intoxicating liquor]
A004579|BATTER MOISTURE|AG.01.m [Substances for food preparation]
A004580|FLAXSEED|AG.01 [Food]
A004581|EGGS GOLDEN BROWN|AG.01.g [Eggs]
A004582|QUICHES|AG.01 [Food]
A004583|FROZEN BANANA CHUNKS|AG.01.t.06 [Preserving/pickling];AG.01.h.01 [Fruit/a fruit]
A004584|BROWN POTATOES|AG.01.h.02.a [Root vegetable]
A004585|GROUND MUSTARD|AG.01.l.03 [Spice]
A004586|HAVARTI CHEESE|AG.01.n.18 [Preserve];AG.01.e.02 [Cheese]
A004587|REDUCED-FAT CHEDDAR CHEESE|AG.01.n.18 [Preserve];AG.01.e.02 [Cheese]
A004588|ROOM-TEMPERATURE EGGS|AG.01.g [Eggs]
A004589|CHOPPED CRANBERRIES|AG.01.h.01.b [Berry]
A004590|FOLD CHOCOLATE CHIPS|AG.01.n.17.a [Sweets];AG.01.m [Substances for food preparation]
A004591|PIE PASTRY|AG.01.n.15 [Pastry]
A004593|SUGAR SUBSTITUTE|AG.01.l.02 [Sweetener (syrup/honey/chocolate)];AG.01 [Food]
A004594|RAISIN BREAD|AG.01.n.11 [Bread];AG.01.h.01.b [Berry];AG.01.h.01 [Fruit/a fruit]
A004595|SPREAD SLICE|AG.01.t.08 [Equipment for food preparation];AG.01.l [Additive]
A004596|STARTER|AG.01.m [Substances for food preparation]
A004597|TURNOVER|AG.01.n.17.a [Sweets];AG.01.n.15 [Pastry]
A004598|BREAD REST|AG.01.n.11 [Bread]
A004599|OMELET COOKS|AG.01.t.07 [Cooking]
A004600|UNCOOKED EGG|AG.01.t.07 [Cooking];AG.01.g [Eggs]
A004601|WARM FRENCH TOAST|AG.01.n.11 [Bread];AG.01.ak [Drinking]
A004602|GENEROUS DOLLOP|AG.01.c [Diet];AG.01.y.01.a [Wine]
A004603|BRIOCHE BREAD|AG.01.n.11 [Bread];AG.01.n.13 [Cake]
A004604|BAKED FRENCH TOAST|AG.01.n.11 [Bread];AG.01.t.07 [Cooking];AG.01.ak [Drinking]
A004605|EXCESS EGG|AG.01.g [Eggs]
