,ID,Food Concept,Semantic Tags,pure tag
3654,A003668,GREEN OLIVE,AG.01.h.01.e [Fruit containing stone],AG.01.h.01.e
3655,A003669,EGG/BEER BATTER,AG.01.m [Substances for food preparation],AG.01.m
3656,A003670,ASIAN SWEET CHILE SAUCE,AG.01.h [Fruit and vegetables];AG.01.l.04 [Sauce/dressing],AG.01.h;AG.01.l.04
3657,A003671,PREPARED TOMATOES,AG.01.h.02.f [Fruits as vegetables],AG.01.h.02.f
3658,A003672,ADDITIONAL RESERVED LIQUID,AG.01 [Food],AG.01
3659,A003673,CHUNKY PEANUT BUTTER,AG.01.h.01.f [Nut];AG.01.e.01 [Butter];AG.01.n [Dishes and prepared food],AG.01.h.01.f;AG.01.e.01;AG.01.n
3660,A003674,ADDITIONAL DRIED DILL,AG.01.h.02.i [Herb],AG.01.h.02.i
3661,A003675,RESERVED JALAPENO SEEDS,AF.10.i [Seed],AF.10.i
3662,A003676,PIZZA CRUST DOUGH,AG.01.n.11 [Bread];AG.01.n.15 [Pastry],AG.01.n.11;AG.01.n.15
3663,A003677,JELLY ROLL STYLE,AG.01.n.11 [Bread];AG.01.n.04 [Jelly],AG.01.n.11;AG.01.n.04
3664,A003678,FOOD DEHYDRATOR,AG.01 [Food],AG.01
3665,A003679,TURKEY GRAVY,AG.01.d.06 [Fowls];AG.01.l.04 [Sauce/dressing];AG.01.l [Additive],AG.01.d.06;AG.01.l.04;AG.01.l
3666,A003680,FRIED WONTONS,AG.01.t.07 [Cooking],AG.01.t.07
3667,A003681,HOT FRIED WONTONS,AG.01.t.07 [Cooking];AG.01 [Food],AG.01.t.07;AG.01
3668,A003682,BITE-SIZE BALLS,AE.07.b [Body and limbs];AG.01 [Food],AE.07.b;AG.01
3669,A003683,CURRANTS,AG.01.h.01.b [Berry];AG.01.h.01 [Fruit/a fruit],AG.01.h.01.b;AG.01.h.01
3670,A003684,SEPARATE GRAPE,AG.01.h.01.b [Berry],AG.01.h.01.b
3671,A003685,LESS-THAN-PERFECT LEAVES,AF.10.e [Leaf],AF.10.e
3672,A003686,LAMB-RICE FILLING,AG.01 [Food],AG.01
3673,A003687,RICE COOKS,AG.01.i [Corn/cereals/grain];AG.01.t.07 [Cooking],AG.01.i;AG.01.t.07
3674,A003688,RESERVED GRAPE,AG.01.h.01.b [Berry],AG.01.h.01.b
3675,A003689,ASPARAGUS SPEAR,AG.01.h.02.b [Stalk vegetables],AG.01.h.02.b
3676,A003690,WRAPPED SPEARS,AG.01 [Food],AG.01
3677,A003691,RADISH,AG.01.h.02.a [Root vegetable],AG.01.h.02.a
3678,A003692,PIZZA CHEESE,AG.01.n.11 [Bread];AG.01.n.18 [Preserve];AG.01.e.02 [Cheese],AG.01.n.11;AG.01.n.18;AG.01.e.02
3679,A003693,FROZEN SPINACH,AG.01.h.02.c [Leaf vegetables];AG.01.t.06 [Preserving/pickling],AG.01.h.02.c;AG.01.t.06
3680,A003694,TART SHELL,"AE.07.d [Covering/skin];AE.12.b [Order Chelonia (turtles, tortoises)];AG.01.o [Animal food]",AE.07.d;AE.12.b;AG.01.o
3681,A003695,FRUIT BITS,AG.01.h [Fruit and vegetables];AG.01.h.01 [Fruit/a fruit],AG.01.h;AG.01.h.01
3682,A003696,PARMESAN SALAD DRESSING,AG.01.n.09 [Prepared vegetables and dishes];AG.01.h.02 [Vegetables];AG.01.e.02 [Cheese],AG.01.n.09;AG.01.h.02;AG.01.e.02
3683,A003697,BANANA BALLS,AG.01.h.01 [Fruit/a fruit],AG.01.h.01
3684,A003698,PINE NUT MIXTURE,AG.01.af [Tea manufacture];AG.01.h.01.f [Nut],AG.01.af;AG.01.h.01.f
3685,A003699,EGG WHITE WASH,AG.01.o [Animal food];AG.01.g [Eggs],AG.01.o;AG.01.g
3686,A003700,CUT PASTRY,AG.01.n.15 [Pastry],AG.01.n.15
3687,A003701,DEGREES F. CLEAN MUSHROOMS,AG.01.h.02.h [Fungi],AG.01.h.02.h
3688,A003702,MUSHROOMS CREAM CHEESE SIDES,AG.01.e [Dairy produce];AG.01.n [Dishes and prepared food];AG.01.h.02.h [Fungi];AG.01.n.18 [Preserve];AG.01.e.02 [Cheese],AG.01.e;AG.01.n;AG.01.h.02.h;AG.01.n.18;AG.01.e.02
3689,A003703,VINAIGRETTE,AG.01.l [Additive],AG.01.l
3690,A003704,SHAPE RICE MIXTURE,AG.01.af [Tea manufacture];AG.01.i [Corn/cereals/grain],AG.01.af;AG.01.i
3691,A003705,MOZZARELLA CHEESE CUBE,AG.01.n.18 [Preserve];AG.01.e.02 [Cheese],AG.01.n.18;AG.01.e.02
3692,A003706,SHAPE RICE,AG.01.i [Corn/cereals/grain],AG.01.i
3693,A003707,COATED BALLS,"AF.10.l [Wood, other part of tree/woody plant];AE.07.d [Covering/skin]",AF.10.l;AE.07.d
3694,A003708,INCHES VEGETABLE OIL,AG.01.f [Fat/oil],AG.01.f
3695,A003709,WRAPPED PRUNES,AG.01.h.01 [Fruit/a fruit],AG.01.h.01
3696,A003710,CHILI PEPPERS,AG.01.h.02.f [Fruits as vegetables];AG.01.l.03 [Spice];AG.01.w [Setting table],AG.01.h.02.f;AG.01.l.03;AG.01.w
3697,A003711,ENERGY BARS,AG.01.ak.01 [Drinking place],AG.01.ak.01
3698,A003712,RED PEPPER JELLY,AG.01.n.04 [Jelly];AG.01.l.03 [Spice],AG.01.n.04;AG.01.l.03
3699,A003713,OTHER BRIE CHEESE HALF,AG.01.n.18 [Preserve];AG.01.e.02 [Cheese],AG.01.n.18;AG.01.e.02
3700,A003714,MAYO,AG.01 [Food],AG.01
3701,A003715,DRIED PEAS,AG.01.h.02.g [Pulse],AG.01.h.02.g
3702,A003716,WASABI MIXTURE,AG.01.af [Tea manufacture];AG.01.h.02.a [Root vegetable],AG.01.af;AG.01.h.02.a
3703,A003717,FRESH SAGE,AG.01.z [Water];AG.01.h.02.i [Herb];AG.01.l [Additive];AG.01 [Food],AG.01.z;AG.01.h.02.i;AG.01.l;AG.01
3704,A003718,FORCE EGG,AG.01.g [Eggs],AG.01.g
3705,A003719,BARBEQUE SEASONING,AG.01.t.05 [Preparation for table/cooking];AG.01.l [Additive],AG.01.t.05;AG.01.l
3706,A003720,SLICED GREEN OLIVES,AG.01.h.01.e [Fruit containing stone];AG.01.t.05 [Preparation for table/cooking],AG.01.h.01.e;AG.01.t.05
3707,A003721,UNSLICED WHITE BREAD LOAF,AG.01.n.11 [Bread];AG.01.n.06 [Meat dishes],AG.01.n.11;AG.01.n.06
3708,A003722,CLEAN CLAM SHELL,AG.01.o [Animal food],AG.01.o
3709,A003723,GROUND MOOSE,AG.01.n.09 [Prepared vegetables and dishes],AG.01.n.09
3710,A003724,DRAINED MEATBALLS,AG.01 [Food],AG.01
3711,A003725,YUCA FRIES,AG.01.d.02 [Part/joint of animal],AG.01.d.02
3712,A003726,CHOPPED PIMENTOS,AG.01.h.02.f [Fruits as vegetables],AG.01.h.02.f
3713,A003727,BABY SHRIMP,AG.01.d.07 [Seafood],AG.01.d.07
3714,A003728,LOWER SPRING ROLLS,AG.01 [Food],AG.01
3715,A003729,CHEESE CHUNKS,AG.01.n.18 [Preserve];AG.01.e.02 [Cheese],AG.01.n.18;AG.01.e.02
3716,A003730,RISOTTO BALLS,AG.01.n.10 [Grain dishes],AG.01.n.10
3717,A003731,DRY LEEK SOUP MIX,AG.01.h.02.e [Onion/leek/garlic];AG.01.m [Substances for food preparation];AG.01.n.02 [Soup/pottage],AG.01.h.02.e;AG.01.m;AG.01.n.02
3718,A003732,DRIED DILL WEED,AG.01.h.02.i [Herb],AG.01.h.02.i
3719,A003733,HOT CHILE PEPPERS,AG.01.h.02.f [Fruits as vegetables];AG.01.l.03 [Spice];AG.01.w [Setting table];AG.01 [Food],AG.01.h.02.f;AG.01.l.03;AG.01.w;AG.01
3720,A003734,TOMATO-BASED CHILI SAUCE,AG.01.h [Fruit and vegetables];AG.01.l.04 [Sauce/dressing],AG.01.h;AG.01.l.04
3721,A003735,RESERVED BEEF,AG.01.d.03 [Beef],AG.01.d.03
3722,A003737,FRY CRAB CAKES,AG.01.d.07 [Seafood];AG.01.n.13 [Cake];AG.01.o [Animal food],AG.01.d.07;AG.01.n.13;AG.01.o
3723,A003738,SCALLION,AF.20.e [Particular vegetables],AF.20.e
3724,A003739,CHICKEN ROLL,AG.01.d.06 [Fowls];AG.01.n.11 [Bread],AG.01.d.06;AG.01.n.11
3725,A003740,CHICKEN BREAST ROLL,AG.01.d.06 [Fowls],AG.01.d.06
3726,A003741,THAWED CHICKEN,AG.01.d.06 [Fowls],AG.01.d.06
3727,A003742,MUSHROOM SOUP,AG.01.h.02.h [Fungi];AG.01.n.02 [Soup/pottage],AG.01.h.02.h;AG.01.n.02
3728,A003743,COOLED SOUP MIXTURE,AG.01.n.02 [Soup/pottage];AG.01.af [Tea manufacture],AG.01.n.02;AG.01.af
3729,A003744,CHILLED BRIE CHEESE,AG.01.t.06 [Preserving/pickling];AG.01.n.18 [Preserve];AG.01.t.05 [Preparation for table/cooking];AG.01.e.02 [Cheese],AG.01.t.06;AG.01.n.18;AG.01.t.05;AG.01.e.02
3730,A003745,ROUND ROLL,AG.01.n.11 [Bread],AG.01.n.11
3731,A003746,SEMI-FROZEN PUFF PASTRY DOUGH,AG.01.n.11 [Bread];AG.01.n.15 [Pastry],AG.01.n.11;AG.01.n.15
3732,A003747,LARGER PASTRY PIECES,AG.01.n.11 [Bread];AG.01.n.15 [Pastry],AG.01.n.11;AG.01.n.15
3733,A003748,EGG WASH STRIP,AG.01.o [Animal food];AG.01.g [Eggs],AG.01.o;AG.01.g
3734,A003749,PASTRY DOUGH,AG.01.n.11 [Bread];AG.01.t.05 [Preparation for table/cooking];AG.01.n.15 [Pastry],AG.01.n.11;AG.01.t.05;AG.01.n.15
3735,A003750,ROLL-UP,AG.01 [Food];AG.01.n.03 [Puddings],AG.01;AG.01.n.03
3736,A003751,SAUSAGE ROLL,AG.01.n.11 [Bread];AG.01.n.05 [Sausage],AG.01.n.11;AG.01.n.05
3737,A003752,DOUGH FIRMS,AG.01.n.11 [Bread],AG.01.n.11
3738,A003753,SMOKER,AG.01.t.06 [Preserving/pickling],AG.01.t.06
3739,A003754,PREHEATED SMOKER,AG.01.t.06 [Preserving/pickling],AG.01.t.06
3740,A003755,SMOKED WINGS,AG.01.t.06 [Preserving/pickling],AG.01.t.06
3741,A003756,BECHAMEL SAUCE,AG.01.h [Fruit and vegetables];AG.01.l.04 [Sauce/dressing],AG.01.h;AG.01.l.04
3742,A003757,DRIED SEAWEED,"AF.19 [Algae, seaweed]",AF.19
3743,A003758,MOCHI CAKE,AG.01.n.13 [Cake];AG.01.n.10 [Grain dishes],AG.01.n.13;AG.01.n.10
3744,A003759,WHEAT CRACKERS,AG.01.i [Corn/cereals/grain],AG.01.i
3745,A003760,GROUND FENNEL SEEDS,AG.01.h.02.i [Herb],AG.01.h.02.i
3746,A003761,FENNEL BULB,AG.01.h.02.i [Herb],AG.01.h.02.i
3747,A003762,FENNEL GREENS,AG.01.h.02.i [Herb],AG.01.h.02.i
3748,A003763,OYSTER OPEN,AG.01.d.07 [Seafood],AG.01.d.07
3749,A003764,FLAT SHELL,AG.01.y [Drink];AG.01.o [Animal food],AG.01.y;AG.01.o
3750,A003765,FENNEL BUTTER,AG.01.e.01 [Butter];AG.01.h.02.i [Herb];AG.01.n [Dishes and prepared food],AG.01.e.01;AG.01.h.02.i;AG.01.n
3751,A003766,FRESH GRATED GINGER,AG.01.l.03 [Spice];AG.01.z [Water];AG.01 [Food],AG.01.l.03;AG.01.z;AG.01
3752,A003767,CUMIN POWDER,AG.01 [Food],AG.01
3753,A003768,BLACK SALT,AG.01.l.01 [Salt];AG.01.w [Setting table],AG.01.l.01;AG.01.w
3754,A003769,SPICED YOGURT,AG.01.t.05 [Preparation for table/cooking];AG.01.x.02 [Appetite],AG.01.t.05;AG.01.x.02
3755,A003770,ABOVE CONDIMENTS,AG.01.l [Additive],AG.01.l
3756,A003771,DIP 'S CONSISTENCY,AG.01.l.04 [Sauce/dressing],AG.01.l.04
3757,A003772,OUNCE BALLS,AE.14.c [Family Felidae (felines)],AE.14.c
3758,A003773,MEAL,AG.01.j [Meal];AG.01.r [Meal],AG.01.j;AG.01.r
3759,A003774,FRY MEAT BALLS,AG.01.d [Animals for food];AG.01 [Food],AG.01.d;AG.01
3760,A003775,STRAWBERRY DAIQUIRI,AG.01.h.01.b [Berry],AG.01.h.01.b
3761,A003776,INDIVIDUAL WATER CHESTNUTS,AG.01.z [Water],AG.01.z
3762,A003777,WRAPPED WATER CHESTNUTS,AG.01.z [Water],AG.01.z
3763,A003778,FLUIDS,AF.10.f [Plant substances],AF.10.f
3764,A003779,RED FOOD,AG.01.d [Animals for food];AG.01 [Food],AG.01.d;AG.01
3765,A003780,COOKED BACON,AG.01.d.05 [Pork];AG.01.t.07 [Cooking],AG.01.d.05;AG.01.t.07
3766,A003781,BUTTERMILK RANCH DRESSING,AG.01.e [Dairy produce],AG.01.e
3767,A003782,DEEP FAT FRYER,AG.01 [Food],AG.01
3768,A003783,MUSHROOM CAPS STUFFING-SIDE-UP,AG.01.h.02.h [Fungi],AG.01.h.02.h
3769,A003784,BAKED MUSHROOMS,AG.01.h.02.h [Fungi];AG.01.t.07 [Cooking],AG.01.h.02.h;AG.01.t.07
3770,A003785,MILD CHEDDAR CHEESE,AG.01.n.18 [Preserve];AG.01.y.01.b [Ale/beer];AG.01.e.02 [Cheese],AG.01.n.18;AG.01.y.01.b;AG.01.e.02
3771,A003786,TRIANGULAR FOLD,AG.01 [Food],AG.01
3772,A003787,SOFT TOFU,AG.01 [Food],AG.01
3773,A003788,SOFT CREAM CHEESE,AG.01.e [Dairy produce];AG.01.n.18 [Preserve];AG.01.e.02 [Cheese];AG.01.n [Dishes and prepared food],AG.01.e;AG.01.n.18;AG.01.e.02;AG.01.n
3774,A003789,PREPARED GUACAMOLE,AG.01 [Food],AG.01
3775,A003790,GUACAMOLE MIX,AG.01.m [Substances for food preparation];AG.01.n.08 [Prepared fruit and dishes],AG.01.m;AG.01.n.08
3776,A003791,RED PEPPER STRIP,AG.01.l.03 [Spice],AG.01.l.03
3777,A003792,TOUGH SIDE MUSCLES,AG.01.a [Qualities of food],AG.01.a
3778,A003793,BURRATA CHEESE,AG.01.n.18 [Preserve];AG.01.e.02 [Cheese],AG.01.n.18;AG.01.e.02
3779,A003794,HERBS DE PROVENCE SEA SALT MIXTURE,AG.01.w [Setting table];AG.01.l.01 [Salt];AG.01.af [Tea manufacture];AG.01.h.02.i [Herb],AG.01.w;AG.01.l.01;AG.01.af;AG.01.h.02.i
3780,A003795,PEACH SLICES FLAT,AG.01.t.08 [Equipment for food preparation];AG.01.h.01.e [Fruit containing stone],AG.01.t.08;AG.01.h.01.e
3781,A003796,TURBINADO SUGAR,AG.01.l.02 [Sweetener (syrup/honey/chocolate)],AG.01.l.02
3782,A003797,PEACH SLICE,AG.01.t.08 [Equipment for food preparation];AG.01.h.01.e [Fruit containing stone],AG.01.t.08;AG.01.h.01.e
3783,A003798,GRATED PARMIGIANO-REGGIANO CHEESE,AG.01.n.18 [Preserve];AG.01.e.02 [Cheese],AG.01.n.18;AG.01.e.02
3784,A003799,ROUND BREAD LOAF,AG.01.n.11 [Bread];AG.01.n.06 [Meat dishes],AG.01.n.11;AG.01.n.06
3785,A003800,ITALIAN BREAD CUBES,AG.01.n.11 [Bread],AG.01.n.11
3786,A003801,CHOPPED ARTICHOKE HEART MIXTURE,AG.01.h.02.b [Stalk vegetables];AG.01.af [Tea manufacture],AG.01.h.02.b;AG.01.af
3787,A003802,TORTILLA PIZZA,AG.01.n.11 [Bread];AG.01.n.12 [Pancake/tortilla/oatcake],AG.01.n.11;AG.01.n.12
3788,A003803,BEAN SIDE,AF.20.f [Pulses/plants producing pulses],AF.20.f
3789,A003804,LEMON ZEST FRESH CRACKED PEPPER,AG.01.z [Water];AG.01 [Food];AG.01.l.03 [Spice];AG.01.l [Additive];AG.01.h.01.a [Citrus fruit],AG.01.z;AG.01;AG.01.l.03;AG.01.l;AG.01.h.01.a
3790,A003805,MINI CRAB CAKES,AG.01.d.07 [Seafood];AG.01.n.13 [Cake];AG.01.o [Animal food],AG.01.d.07;AG.01.n.13;AG.01.o
3791,A003806,VEGETABLE JUICE,AG.01.l.02 [Sweetener (syrup/honey/chocolate)];AG.01.ab [Fruit juice/squash],AG.01.l.02;AG.01.ab
3792,A003807,SOY-BASED SEASONING,AG.01.t.05 [Preparation for table/cooking];AG.01.l [Additive],AG.01.t.05;AG.01.l
3793,A003808,MARSALA WINE,AG.01.y.01.a [Wine],AG.01.y.01.a
3794,A003809,RICOTTA-TOPPED BREAD SLICES,AG.01.n.11 [Bread];AG.01.t.08 [Equipment for food preparation];AG.01.e.02 [Cheese],AG.01.n.11;AG.01.t.08;AG.01.e.02
3795,A003810,SIMMER GARLIC SLICES,AG.01.t.08 [Equipment for food preparation];AG.01.h.02.e [Onion/leek/garlic];AG.01.t.07 [Cooking],AG.01.t.08;AG.01.h.02.e;AG.01.t.07
3796,A003811,DRAINED BACON,AG.01.d.05 [Pork],AG.01.d.05
3797,A003812,DRIED ONION,AG.01.h.02.e [Onion/leek/garlic],AG.01.h.02.e
3798,A003813,ENGLISH MUFFIN,AG.01.n.13 [Cake];AG.01.w [Setting table],AG.01.n.13;AG.01.w
3799,A003814,JUST CHEESE,AG.01.n.18 [Preserve];AG.01.e.02 [Cheese],AG.01.n.18;AG.01.e.02
3800,A003815,ZUCCHINI STRIPS,AG.01.h.02.f [Fruits as vegetables],AG.01.h.02.f
3801,A003816,ROLL STRIPS,AG.01.n.11 [Bread],AG.01.n.11
3802,A003817,COATED ZUCCHINI STRIPS,AG.01.h.02.f [Fruits as vegetables],AG.01.h.02.f
3803,A003818,PRETZEL,AG.01.n.14 [Biscuit],AG.01.n.14
3804,A003819,DUMPLING,AG.01.n.03 [Puddings],AG.01.n.03
3805,A003820,LITTLE STUFFED DUMPLING,AG.01.t.05 [Preparation for table/cooking];AG.01.n.03 [Puddings],AG.01.t.05;AG.01.n.03
3806,A003821,ROASTED NUTS,AG.01.t.07 [Cooking];AG.01.h.01.f [Nut],AG.01.t.07;AG.01.h.01.f
3807,A003822,TRUFFLE OIL,AG.01.n.17.a [Sweets];AG.01.h.02.h [Fungi];AG.01.f [Fat/oil],AG.01.n.17.a;AG.01.h.02.h;AG.01.f
3808,A003823,TRUFFLE OIL MIXTURE,AG.01.n.17.a [Sweets];AG.01.h.02.h [Fungi];AG.01.af [Tea manufacture];AG.01.f [Fat/oil],AG.01.n.17.a;AG.01.h.02.h;AG.01.af;AG.01.f
3809,A003824,OUTER LEAVES,AF.10.e [Leaf],AF.10.e
3810,A003825,CHILLED DIP,AG.01.t.05 [Preparation for table/cooking];AG.01.t.06 [Preserving/pickling];AG.01.l.04 [Sauce/dressing],AG.01.t.05;AG.01.t.06;AG.01.l.04
3811,A003826,HOLLOWED CABBAGE,AG.01.h.02.d [Cabbage/kale],AG.01.h.02.d
3812,A003827,HOT CHILI OIL,AG.01.f [Fat/oil],AG.01.f
3813,A003828,MIX CORNSTARCH,AG.01.m [Substances for food preparation],AG.01.m
3814,A003829,VEGETABLE,AF.02.a [Food plant/vegetable],AF.02.a
3815,A003830,THICKENED SAUCE,AG.01.h [Fruit and vegetables];AG.01.l.04 [Sauce/dressing],AG.01.h;AG.01.l.04
3816,A003831,LEEK,AG.01.h.02.e [Onion/leek/garlic],AG.01.h.02.e
3817,A003832,WHOLE WHEAT BREAD,AG.01.n.11 [Bread];AG.01.e [Dairy produce];AG.01.i [Corn/cereals/grain],AG.01.n.11;AG.01.e;AG.01.i
3818,A003833,REMOVED BREAD CHUNKS,AG.01.n.11 [Bread],AG.01.n.11
3819,A003834,CHEESE STICK,AG.01.n.18 [Preserve];AG.01.e.02 [Cheese],AG.01.n.18;AG.01.e.02
3820,A003835,SOUR CREAM LEMON JUICE,AG.01.e [Dairy produce];AG.01.ab [Fruit juice/squash];AG.01.n [Dishes and prepared food];AG.01.l.02 [Sweetener (syrup/honey/chocolate)];AG.01.h.01.a [Citrus fruit],AG.01.e;AG.01.ab;AG.01.n;AG.01.l.02;AG.01.h.01.a
3821,A003836,MOUTH,AG.01.x.01 [Eating];AG.01 [Food],AG.01.x.01;AG.01
3822,A003837,DRIZZLE BALSAMIC VINEGAR,AG.01.ae.01 [Wine-making];AG.01.l [Additive],AG.01.ae.01;AG.01.l
3823,A003838,CINNAMON MIXTURE,AG.01.l.03 [Spice];AG.01.af [Tea manufacture],AG.01.l.03;AG.01.af
3824,A003839,TOASTED OATS MIXTURE,AG.01.af [Tea manufacture];AG.01.i [Corn/cereals/grain];AG.01.t.07 [Cooking],AG.01.af;AG.01.i;AG.01.t.07
3825,A003840,CHILI SEASONING MIX,AG.01.m [Substances for food preparation];AG.01.t.05 [Preparation for table/cooking];AG.01.l [Additive],AG.01.m;AG.01.t.05;AG.01.l
3826,A003841,TOASTED BREAD SLICE,AG.01.n.11 [Bread];AG.01.t.08 [Equipment for food preparation];AG.01.t.07 [Cooking],AG.01.n.11;AG.01.t.08;AG.01.t.07
3827,A003842,APPLE PIECES,AG.01.n.11 [Bread];AG.01.h.01.c [Apple],AG.01.n.11;AG.01.h.01.c
3828,A003843,TACO,AG.01 [Food],AG.01
3829,A003844,OUNCE BLUE CHEESE,AE.14.c [Family Felidae (felines)],AE.14.c
3830,A003845,BLACK SESAME SEEDS,AG.01.i [Corn/cereals/grain],AG.01.i
3831,A003846,WARM CRACKERS,AG.01 [Food],AG.01
3832,A003847,CEREAL SQUARES,AG.01.i [Corn/cereals/grain],AG.01.i
3833,A003848,MILK CHOCOLATE PIECES,AG.01.n.17.a [Sweets];AG.01.e [Dairy produce];AG.01.m [Substances for food preparation];AG.01.n.11 [Bread],AG.01.n.17.a;AG.01.e;AG.01.m;AG.01.n.11
3834,A003849,MELTED CHIPS,AG.01.t.07 [Cooking];AE.14.m.03 [Subfamily Bovinae (bovines)],AG.01.t.07;AE.14.m.03
3835,A003850,ONION SLICES,AG.01.t.08 [Equipment for food preparation];AG.01.h.02.e [Onion/leek/garlic],AG.01.t.08;AG.01.h.02.e
3836,A003851,EXCESS FLOUR MIXTURE,AG.01.j [Meal];AG.01.k [Flour];AG.01.af [Tea manufacture],AG.01.j;AG.01.k;AG.01.af
3837,A003852,COOL VEGETABLES,AF.02.a [Food plant/vegetable],AF.02.a
3838,A003853,SEED MEAL,AG.01.j [Meal];AG.01.r [Meal],AG.01.j;AG.01.r
3839,A003854,EXCESS DOUGH,AG.01.n.11 [Bread],AG.01.n.11
3840,A003855,CUCUMBER CHUNKS,AG.01.h.02.f [Fruits as vegetables],AG.01.h.02.f
3841,A003856,GREEN FOOD COLOURING,AG.01.d [Animals for food];AG.01.o [Animal food];AG.01 [Food],AG.01.d;AG.01.o;AG.01
3842,A003857,SALTED CREAM CHEESE,AG.01.e [Dairy produce];AG.01.n [Dishes and prepared food];AG.01.n.18 [Preserve];AG.01.t.05 [Preparation for table/cooking];AG.01.e.02 [Cheese],AG.01.e;AG.01.n;AG.01.n.18;AG.01.t.05;AG.01.e.02
3843,A003858,PRESSED CHEESE,AG.01.n.18 [Preserve];AG.01.e.02 [Cheese],AG.01.n.18;AG.01.e.02
3844,A003859,FRENCH-FRIED ONIONS,AG.01.h.02.e [Onion/leek/garlic],AG.01.h.02.e
3845,A003860,PASTRAMI DELI SLICES,AG.01.t.08 [Equipment for food preparation];AG.01.d.03 [Beef],AG.01.t.08;AG.01.d.03
3846,A003861,PASTRAMI,AG.01 [Food],AG.01
3847,A003862,WOOD CHIPS,"AF.10.l [Wood, other part of tree/woody plant]",AF.10.l
3848,A003863,SMOKE,AG.01 [Food],AG.01
3849,A003864,EXCESS OIL DRAIN,AG.01.f [Fat/oil],AG.01.f
3850,A003865,PEPPER JACK CHEESE,AG.01.h.02.f [Fruits as vegetables];AG.01.l.03 [Spice];AG.01.n.18 [Preserve];AG.01.e.02 [Cheese],AG.01.h.02.f;AG.01.l.03;AG.01.n.18;AG.01.e.02
3851,A003866,NUTRITIONAL YEAST MIXTURE,AG.01.a [Qualities of food];AG.01.m [Substances for food preparation];AG.01.af [Tea manufacture],AG.01.a;AG.01.m;AG.01.af
3852,A003867,WOOD FUNGUS MUSHROOMS,AG.01.h.02.h [Fungi],AG.01.h.02.h
3853,A003868,AVOCADO FLESH,AG.01.h.01.e [Fruit containing stone],AG.01.h.01.e
3854,A003869,SALAD BLENDS,AG.01.n.09 [Prepared vegetables and dishes];AG.01.h.02 [Vegetables],AG.01.n.09;AG.01.h.02
3855,A003870,SALAD BLEND,AG.01.n.09 [Prepared vegetables and dishes];AG.01.h.02 [Vegetables],AG.01.n.09;AG.01.h.02
3856,A003871,GARBANZOS,AG.01.h.02.g [Pulse],AG.01.h.02.g
3857,A003872,VEGETABLE BROTH,AG.01.m [Substances for food preparation];AG.01.n.02 [Soup/pottage],AG.01.m;AG.01.n.02
3858,A003873,PIPE EGG YOLK MIXTURE,AG.01.af [Tea manufacture];AG.01.g [Eggs],AG.01.af;AG.01.g
3859,A003874,WILTED SPINACH,AG.01.h.02.c [Leaf vegetables],AG.01.h.02.c
3860,A003875,PHYLLO DOUGH STRIP,AG.01.n.11 [Bread],AG.01.n.11
3861,A003876,SHISO LEAF,AF.10.e [Leaf],AF.10.e
3862,A003877,SWEET RELISH,AG.01.a [Qualities of food];AG.01.l [Additive],AG.01.a;AG.01.l
3863,A003878,TOFU SLICES,AG.01.t.08 [Equipment for food preparation];AG.01.n.09 [Prepared vegetables and dishes],AG.01.t.08;AG.01.n.09
3864,A003879,COATED TOFU,"AF.10.l [Wood, other part of tree/woody plant];AE.07.d [Covering/skin]",AF.10.l;AE.07.d
3865,A003880,FILLED AVOCADOS,AG.01.h.01.e [Fruit containing stone];AG.01.t.05 [Preparation for table/cooking];AG.01.x.02 [Appetite],AG.01.h.01.e;AG.01.t.05;AG.01.x.02
3866,A003881,SWEET POTATO STRIPS,AG.01.h.02.a [Root vegetable],AG.01.h.02.a
3867,A003882,COATED SWEET POTATO STRIPS,AG.01.h.02.a [Root vegetable],AG.01.h.02.a
3868,A003883,SWEET POTATO CHIPS,AG.01 [Food],AG.01
3869,A003884,VANILLA ALMOND BARK,AG.01.h.01.f [Nut],AG.01.h.01.f
3870,A003885,ALMOND BARK MIXTURE,AG.01.af [Tea manufacture];AG.01.h.01.f [Nut],AG.01.af;AG.01.h.01.f
3871,A003886,PUPPY CHOW,AG.01.n [Dishes and prepared food],AG.01.n
3872,A003887,WHEAT SQUARES,AG.01.i [Corn/cereals/grain],AG.01.i
3873,A003888,MINI PRETZELS,AG.01.n.14 [Biscuit],AG.01.n.14
3874,A003889,UNSALTED BUTTER,AG.01.t.05 [Preparation for table/cooking];AG.01.e.01 [Butter];AG.01.n [Dishes and prepared food],AG.01.t.05;AG.01.e.01;AG.01.n
3875,A003890,SEASONING SAUCE,AG.01.t.05 [Preparation for table/cooking];AG.01.l.04 [Sauce/dressing];AG.01.h [Fruit and vegetables];AG.01.l [Additive],AG.01.t.05;AG.01.l.04;AG.01.h;AG.01.l
3876,A003891,SNACK MIX STORES,AG.01.m [Substances for food preparation],AG.01.m
3877,A003892,INSTANT COFFEE GRANULES,AG.01.ad [Coffee];AG.01.ag [Coffee manufacture];AG.01 [Food],AG.01.ad;AG.01.ag;AG.01
3878,A003893,GRANOLA BARS,AG.01.n.10 [Grain dishes];AG.01.ak.01 [Drinking place],AG.01.n.10;AG.01.ak.01
3879,A003894,WHOLE-WHEAT FLOUR,AG.01.j [Meal];AG.01.k [Flour],AG.01.j;AG.01.k
